Time Done Counter ack_out a_out_h a_out_l
1334531 0 424 0 10259040 2352324777
1334533 0 426 1 0 0
1366213 0 426 0 10265434 1220878530
1366215 0 428 1 0 0
1367119 0 428 0 10265442 1445075210
1367121 0 430 1 0 0
1368857 0 430 0 10265442 2427586854
1368859 0 432 1 0 0
1372509 0 432 0 10266713 338896258
1372511 0 434 1 0 0
1374967 0 434 0 10266722 1210390635
1374969 0 436 1 0 0
1378893 0 436 0 10267154 1187261444
1378895 0 436 1 0 0
1378937 0 436 0 10267154 1187261446
1378939 0 436 1 0 0
1380319 0 436 0 10267186 1187121419
1380321 0 438 1 0 0
1382215 0 438 0 10267233 280074313
1382217 0 440 1 0 0
1382573 0 440 0 10267233 372450376
1382575 0 442 1 0 0
1387285 0 442 0 10267443 337781864
1387287 0 444 1 0 0
1389467 0 444 0 10267459 143759682
1389469 0 446 1 0 0
1390489 0 446 0 10267467 136645832
1390491 0 448 1 0 0
1397865 0 448 0 10267721 338897992
1397867 0 450 1 0 0
1418015 0 450 0 10298905 1422011650
1418017 0 452 1 0 0
1418425 0 452 0 10298906 2293503362
1418427 0 454 1 0 0
1419475 0 454 0 10298944 2294617195
1419477 0 456 1 0 0
1422073 0 456 0 10300177 204812456
1422075 0 458 1 0 0
1424797 0 458 0 10300177 1187324100
1424799 0 460 1 0 0
1428243 0 460 0 10300185 1422006530
1428245 0 462 1 0 0
1428637 0 462 0 10300186 147134533
1428639 0 464 1 0 0
1434419 0 464 0 10300433 279088331
1434421 0 466 1 0 0
1434753 0 466 0 10300433 280137030
1434755 0 468 1 0 0
1444269 0 468 0 10300480 2519929157
1444271 0 470 1 0 0
1446467 0 470 0 10306098 373695651
1446469 0 472 1 0 0
1448655 0 472 0 10306121 1353822404
1448657 0 474 1 0 0
1453435 0 474 0 10306354 371594532
1453437 0 476 1 0 0
1454101 0 476 0 10306354 1445114116
1454103 0 478 1 0 0
1458449 0 478 0 10306393 281184457
1458451 0 480 1 0 0
1464283 0 480 0 10307097 1452673160
1464285 0 482 1 0 0
1465171 0 482 0 10307098 1220816034
1465173 0 484 1 0 0
1467017 0 484 0 10307144 2293342597
1467019 0 486 1 0 0
1468331 0 486 0 10307147 146016419
1468333 0 488 1 0 0
1471443 0 488 0 10307160 2318668169
1471445 0 490 1 0 0
1471927 0 490 0 10307160 2325090563
1471929 0 492 1 0 0
1472365 0 492 0 10307160 2419462437
1472367 0 494 1 0 0
1476873 0 494 0 10307610 1210233035
1476875 0 496 1 0 0
1477049 0 496 0 10307610 1210423685
1477051 0 498 1 0 0
1479875 0 498 0 10307672 2291536998
1479877 0 500 1 0 0
1490943 0 500 0 10308680 2318675078
1490945 0 502 1 0 0
1495341 0 502 0 10314291 340894856
1495343 0 504 1 0 0
1501923 0 504 0 10314544 2495750313
1501925 0 506 1 0 0
1506553 0 506 0 10314563 136648997
1506555 0 508 1 0 0
1506823 0 508 0 10314563 170203273
1506825 0 510 1 0 0
1513291 0 510 0 10315282 2318804104
1513293 0 512 1 0 0
1515853 0 512 0 10315290 2291536968
1515855 0 514 1 0 0
1516203 0 514 0 10315290 2420515909
1516205 0 516 1 0 0
1523993 0 516 0 10315801 1411520905
1523995 0 518 1 0 0
1535035 0 518 0 10322505 1413844230
1535037 0 520 1 0 0
1548525 0 520 0 10323520 2520060197
1548527 0 522 1 0 0
1549919 0 522 0 10323528 2293342533
1549921 0 524 1 0 0
1550209 0 524 0 10323528 2293501098
1550211 0 526 1 0 0
1554019 0 526 0 10323985 313691462
1554021 0 528 1 0 0
1558887 0 528 0 10324056 2352288037
1558889 0 530 1 0 0
1560045 0 530 0 10324057 338863174
1560047 0 532 1 0 0
1560263 0 532 0 10324057 340862054
1560265 0 534 1 0 0
1579181 0 534 0 10504010 3399620995
1579183 0 536 1 0 0
1579407 0 536 0 10504010 3399683460
1579409 0 538 1 0 0
1585415 0 538 0 10504504 3569527942
1585417 0 540 1 0 0
1614277 0 540 0 10519138 1448188231
1614279 0 542 1 0 0
1614799 0 542 0 10519138 2360448233
1614801 0 544 1 0 0
1616795 0 544 0 10520346 3535964486
1616797 0 546 1 0 0
1618119 0 546 0 10520392 2560822443
1618121 0 548 1 0 0
1621137 0 548 0 10520400 3535964363
1621139 0 550 1 0 0
1622973 0 550 0 10520418 2220205158
1622975 0 552 1 0 0
1625025 0 552 0 10520858 2226335973
1625027 0 554 1 0 0
1636679 0 554 0 10521400 3569525830
1636681 0 556 1 0 0
1637049 0 556 0 10521402 2220237926
1637051 0 558 1 0 0
1639081 0 558 0 10521416 2352356522
1639083 0 560 1 0 0
1641301 0 560 0 10521416 3399882823
1641303 0 562 1 0 0
1641825 0 562 0 10521416 3433433255
1641827 0 564 1 0 0
1648161 0 564 0 10521672 2318769478
1648163 0 566 1 0 0
1651477 0 566 0 10521672 3434157290
1651479 0 568 1 0 0
1652635 0 568 0 10521673 1152584938
1652637 0 570 1 0 0
1656567 0 570 0 10521681 1147505897
1656569 0 572 1 0 0
1678379 0 572 0 10528586 3292728714
1678381 0 574 1 0 0
1680159 0 574 0 10528610 2218986795
1680161 0 576 1 0 0
1681635 0 576 0 10529072 3569584267
