=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.20 18:57:10 =~=~=~=~=~=~=~=~=~=~=~=
Time Done Counter ack_out a_out_2 a_out_1 a_out_0
2351671 0 530 1 0 0 0
2354551 0 530 0 0 304448090 215066853
2354553 0 532 1 0 0 0
2367401 0 532 0 0 304449042 2329152871
2367403 0 534 1 0 0 0
2368119 0 534 0 0 304449042 3397815623
2368121 0 536 1 0 0 0
2368345 0 536 0 0 304449042 3665988935
2368347 0 538 1 0 0 0
2369715 0 538 0 0 304449050 2589198695
2369717 0 540 1 0 0 0
2370321 0 540 0 0 304449050 3461777736
2370323 0 542 1 0 0 0
2370551 0 542 0 0 304449050 3665987911
2370553 0 544 1 0 0 0
2370887 0 544 0 0 304449112 2329159783
2370889 0 546 1 0 0 0
2372021 0 546 0 0 304449112 3402901575
2372023 0 548 1 0 0 0
2372169 0 548 0 0 304449112 3402901730
2372171 0 550 1 0 0 0
2376143 0 550 0 0 304449562 3424823719
2376145 0 552 1 0 0 0
2377171 0 552 0 0 304449576 2362809450
2377173 0 554 1 0 0 0
2377487 0 554 0 0 304449576 2594409675
2377489 0 556 1 0 0 0
2379701 0 556 0 0 304449624 3424823719
2379703 0 558 1 0 0 0
2381585 0 558 0 0 304449640 3458570565
2381587 0 560 1 0 0 0
2383079 0 560 0 0 304450065 2262147239
2383081 0 562 1 0 0 0
2383529 0 562 0 0 304450065 2530479271
2383531 0 564 1 0 0 0
2389239 0 564 0 0 304450088 3604187336
2389241 0 566 1 0 0 0
2389611 0 566 0 0 304450088 3604224071
2389613 0 568 1 0 0 0
2392975 0 568 0 0 304450152 3391363431
2392977 0 570 1 0 0 0
2399405 0 570 0 0 304456273 2522099815
2399407 0 572 1 0 0 0
2408777 0 572 0 0 304457296 2328104295
2408779 0 574 1 0 0 0
2415503 0 574 0 0 304457768 2556796227
2415505 0 576 1 0 0 0
2415881 0 576 0 0 304457768 2557840586
2415883 0 578 1 0 0 0
2416657 0 578 0 0 304457771 73768259
2416659 0 580 1 0 0 0
2442607 0 580 0 0 304638792 2362683653
2442609 0 582 1 0 0 0
2443713 0 582 0 0 304638793 1154724102
2443715 0 584 1 0 0 0
2445271 0 584 0 0 304638795 215030952
2445273 0 586 1 0 0 0
2449591 0 586 0 0 304639322 213980393
2449593 0 588 1 0 0 0
2461587 0 588 0 0 304653147 1321279689
2461589 0 590 1 0 0 0
2466389 0 590 0 0 304654683 1181819084
2466391 0 592 1 0 0 0
2467795 0 592 0 0 304654683 1321279683
2467797 0 594 1 0 0 0
2484751 0 594 0 0 304669281 1389563240
2484753 0 596 1 0 0 0
2491827 0 596 0 0 304671072 2587041963
2491829 0 598 1 0 0 0
2493777 0 598 0 0 304671505 1482984872
2493779 0 600 1 0 0 0
2498407 0 600 0 0 304671514 441525452
2498409 0 602 1 0 0 0
2507767 0 602 0 0 304672088 3630470216
2507769 0 604 1 0 0 0
2508255 0 604 0 0 304672089 1147449603
2508257 0 606 1 0 0 0
